bed_id	bed_name	available_from	available_to	block_id	floor_id	room_id
1	1A	2019-01-01	2099-12-31	1	1	1
2	1B	2019-01-01	2099-12-31	1	1	1
3	1C	2019-01-01	2099-12-31	1	1	1
4	1D	2019-01-01	2099-12-31	1	1	1
5	1E	2019-01-01	2099-12-31	1	1	1
6	1F	2019-01-01	2099-12-31	1	1	1
7	1G	2019-01-01	2099-12-31	1	1	1
8	1H	2019-01-01	2099-12-31	1	1	1
9	2A	2019-01-01	2099-12-31	1	1	1
10	2B	2019-01-01	2099-12-31	1	1	1
11	2C	2019-01-01	2099-12-31	1	1	1
12	2D	2019-01-01	2099-12-31	1	1	1
13	2E	2019-01-01	2099-12-31	1	1	1
14	2F	2019-01-01	2099-12-31	1	1	1
15	2G	2019-01-01	2099-12-31	1	1	1
16	2H	2019-01-01	2099-12-31	1	1	1
17	3A	2019-01-01	2099-12-31	1	1	1
18	3B	2019-01-01	2099-12-31	1	1	1
19	3C	2019-01-01	2099-12-31	1	1	1
20	3D	2019-01-01	2099-12-31	1	1	1
21	4A	2019-01-01	2099-12-31	1	1	1
22	4B	2019-01-01	2099-12-31	1	1	1
23	4C	2019-01-01	2099-12-31	1	1	1
24	4D	2019-01-01	2099-12-31	1	1	1
25	1AA	2019-01-01	2099-12-31	1	1	1
26	1BB	2019-01-01	2099-12-31	1	1	1
27	1CC	2019-01-01	2099-12-31	1	1	1
28	1DD	2019-01-01	2099-12-31	1	1	1
29	!EE	2019-01-01	2099-12-31	1	1	1
30	1FF	2019-01-01	2099-12-31	1	1	1
31	1GG	2019-01-01	2099-12-31	1	1	1
32	1HH	2019-01-01	2099-12-31	1	1	1
33	2AA	2019-01-01	2099-12-31	1	1	1
34	2BB	2019-01-01	2099-12-31	1	1	1
35	2CC	2019-01-01	2099-12-31	1	1	1
36	2DD	2019-01-01	2099-12-31	1	1	1
37	2EE	2019-01-01	2099-12-31	1	1	1
38	2FF	2019-01-01	2099-12-31	1	1	1
39	2GG	2019-01-01	2099-12-31	1	1	1
40	2HH	2019-01-01	2099-12-31	1	1	1
41	3AA	2019-01-01	2099-12-31	1	1	1
42	3BB	2019-01-01	2099-12-31	1	1	1
43	3CC	2019-01-01	2099-12-31	1	1	1
44	3DD	2019-01-01	2099-12-31	1	1	1
45	4AA	2019-01-01	2099-12-31	1	1	1
46	4BB	2019-01-01	2099-12-31	1	1	1
47	4CC	2019-01-01	2099-12-31	1	1	1
48	4DD	2019-01-01	2099-12-31	1	1	1
49	S1	2019-01-01	2099-12-31	1	2	2
50	S2	2019-01-01	2099-12-31	1	2	2
51	S3	2019-01-01	2099-12-31	1	2	2
52	S1	2019-01-01	2099-12-31	1	2	3
53	S2	2019-01-01	2099-12-31	1	2	3
54	S3	2019-01-01	2099-12-31	1	2	3
55	S1	2019-01-01	2099-12-31	1	2	4
56	S2	2019-01-01	2099-12-31	1	2	4
57	S3	2019-01-01	2099-12-31	1	2	4
58	S1	2019-01-01	2099-12-31	1	2	5
59	S2	2019-01-01	2099-12-31	1	2	5
60	S3	2019-01-01	2099-12-31	1	2	5
61	S1	2019-01-01	2099-12-31	1	2	6
62	S2	2019-01-01	2099-12-31	1	2	6
63	S3	2019-01-01	2099-12-31	1	2	6
64	S1	2019-01-01	2099-12-31	1	2	7
65	S2	2019-01-01	2099-12-31	1	2	7
66	S3	2019-01-01	2099-12-31	1	2	7
67	S1	2019-01-01	2099-12-31	1	2	8
68	S2	2019-01-01	2099-12-31	1	2	8
69	S1	2019-01-01	2099-12-31	1	3	9
70	S2	2019-01-01	2099-12-31	1	3	9
71	S3	2019-01-01	2099-12-31	1	3	9
72	S1	2019-01-01	2099-12-31	1	3	10
73	S2	2019-01-01	2099-12-31	1	3	10
74	S3	2019-01-01	2099-12-31	1	3	10
75	S1	2019-01-01	2099-12-31	1	3	11
76	S2	2019-01-01	2099-12-31	1	3	11
77	S3	2019-01-01	2099-12-31	1	3	11
78	S1	2019-01-01	2099-12-31	1	3	12
79	S2	2019-01-01	2099-12-31	1	3	12
80	S3	2019-01-01	2099-12-31	1	3	12
81	S1	2019-01-01	2099-12-31	1	3	13
82	S2	2019-01-01	2099-12-31	1	3	13
83	S3	2019-01-01	2099-12-31	1	3	13
84	S1	2019-01-01	2099-12-31	1	3	14
85	S2	2019-01-01	2099-12-31	1	3	14
86	S3	2019-01-01	2099-12-31	1	3	14
87	S1	2019-01-01	2099-12-31	1	3	15
88	S2	2019-01-01	2099-12-31	1	3	15
89	S1	2019-01-01	2099-12-31	1	4	16
90	S2	2019-01-01	2099-12-31	1	4	16
91	S3	2019-01-01	2099-12-31	1	4	16
92	S1	2019-01-01	2099-12-31	1	4	17
93	S2	2019-01-01	2099-12-31	1	4	17
94	S3	2019-01-01	2099-12-31	1	4	17
95	S1	2019-01-01	2099-12-31	1	4	18
96	S2	2019-01-01	2099-12-31	1	4	18
97	S3	2019-01-01	2099-12-31	1	4	18
98	S1	2019-01-01	2099-12-31	1	4	19
99	S2	2019-01-01	2099-12-31	1	4	19
100	S3	2019-01-01	2099-12-31	1	4	19
