id	taluk	city_id	country_id	pin_code_id	state_id
35674	Portblair	South Andaman	IND	744112	ANDAMAN & NICOBAR ISLANDS
35675	Portblair	South Andaman	IND	744102	ANDAMAN & NICOBAR ISLANDS
35676	Portblair	South Andaman	IND	744101	ANDAMAN & NICOBAR ISLANDS
35677	Portblair	South Andaman	IND	744103	ANDAMAN & NICOBAR ISLANDS
35678	Port Blair	South Andaman	IND	744101	ANDAMAN & NICOBAR ISLANDS
35679	Port  Blair	South Andaman	IND	744104	ANDAMAN & NICOBAR ISLANDS
35680	Rangat	North And Middle Andaman	IND	744201	ANDAMAN & NICOBAR ISLANDS
35681	Ferrargunj	South Andaman	IND	744107	ANDAMAN & NICOBAR ISLANDS
35682	Nancowrie	Nicobar	IND	744302	ANDAMAN & NICOBAR ISLANDS
35683	Carnicobar	Nicobar	IND	744301	ANDAMAN & NICOBAR ISLANDS
35684	Diglipur	North And Middle Andaman	IND	744202	ANDAMAN & NICOBAR ISLANDS
35685	Port Blair	South Andaman	IND	744105	ANDAMAN & NICOBAR ISLANDS
35686	Port Blair	South Andaman	IND	744102	ANDAMAN & NICOBAR ISLANDS
35687	Port Blair	South Andaman	IND	744211	ANDAMAN & NICOBAR ISLANDS
35688	Hut Bay	South Andaman	IND	744207	ANDAMAN & NICOBAR ISLANDS
35689	Port Blair	South Andaman	IND	744103	ANDAMAN & NICOBAR ISLANDS
35690	Rangat	North And Middle Andaman	IND	744209	ANDAMAN & NICOBAR ISLANDS
35691	Nancowrie	Nicobar	IND	744304	ANDAMAN & NICOBAR ISLANDS
35692	Rangat	North And Middle Andaman	IND	744203	ANDAMAN & NICOBAR ISLANDS
35693	Mayabander	North And Middle Andaman	IND	744204	ANDAMAN & NICOBAR ISLANDS
35694	Nancowrie	Nicobar	IND	744303	ANDAMAN & NICOBAR ISLANDS
35695	Port Blair	North And Middle Andaman	IND	744210	ANDAMAN & NICOBAR ISLANDS
35696	Rangat	North And Middle Andaman	IND	744205	ANDAMAN & NICOBAR ISLANDS
35697	Port Blair	South Andaman	IND	744106	ANDAMAN & NICOBAR ISLANDS
35698	Ferrargunj	South Andaman	IND	744206	ANDAMAN & NICOBAR ISLANDS
35699	Ferrargunj	South Andaman	IND	744103	ANDAMAN & NICOBAR ISLANDS
35700	Ferrargunj	South Andaman	IND	744105	ANDAMAN & NICOBAR ISLANDS
35701	Port Blair	South Andaman	IND	744104	ANDAMAN & NICOBAR ISLANDS
35702	Mayabander	North And Middle Andaman	IND	744201	ANDAMAN & NICOBAR ISLANDS
35703	Nancorie	Nicobar	IND	744302	ANDAMAN & NICOBAR ISLANDS
35704	Carnicobar	Nicobar	IND	744303	ANDAMAN & NICOBAR ISLANDS
35705	Kurnool	Kurnool	IND	518004	ANDHRA PRADESH
35706	Kurnool	Kurnool	IND	518002	ANDHRA PRADESH
35707	Kurnool	Kurnool	IND	518001	ANDHRA PRADESH
35708	Kurnool	Kurnool	IND	518003	ANDHRA PRADESH
35709	Kurnool	Kurnool	IND	518006	ANDHRA PRADESH
35710	Kurnool	Kurnool	IND	518302	ANDHRA PRADESH
35711	Adoni	Kurnool	IND	518301	ANDHRA PRADESH
35712	Kurnool	Kurnool	IND	518395	ANDHRA PRADESH
35713	Kurnool	Kurnool	IND	518347	ANDHRA PRADESH
35714	Kurnool	Kurnool	IND	518348	ANDHRA PRADESH
35715	Kurnool	Kurnool	IND	518333	ANDHRA PRADESH
35716	Kurnool	Kurnool	IND	518346	ANDHRA PRADESH
35717	Kurnool	Kurnool	IND	518308	ANDHRA PRADESH
35718	Kurnool	Kurnool	IND	518350	ANDHRA PRADESH
35719	Kurnool	Kurnool	IND	518344	ANDHRA PRADESH
35720	Kurnool	Kurnool	IND	518385	ANDHRA PRADESH
35721	Kurnool	Kurnool	IND	518345	ANDHRA PRADESH
35722	Kurnool	Kurnool	IND	518343	ANDHRA PRADESH
35723	Kurnool	Kurnool	IND	518396	ANDHRA PRADESH
35724	Pattikonda	Kurnool	IND	518380	ANDHRA PRADESH
35725	Kurnool	Kurnool	IND	518323	ANDHRA PRADESH
35726	Kurnool	Kurnool	IND	518390	ANDHRA PRADESH
35727	Kurnool	Kurnool	IND	518360	ANDHRA PRADESH
35728	Adoni	Kurnool	IND	518360	ANDHRA PRADESH
35729	Kurnool	Kurnool	IND	518533	ANDHRA PRADESH
35730	Kurnool	Kurnool	IND	518313	ANDHRA PRADESH
35731	Kurnool	Kurnool	IND	518422	ANDHRA PRADESH
35732	Kurnool	Kurnool	IND	518462	ANDHRA PRADESH
35733	Kurnool	Kurnool	IND	518599	ANDHRA PRADESH
35734	Kurnool	Kurnool	IND	518432	ANDHRA PRADESH
35735	Kurnool	Kurnool	IND	518206	ANDHRA PRADESH
35736	Kurnool	Kurnool	IND	518465	ANDHRA PRADESH
35737	Kurnool	Kurnool	IND	518222	ANDHRA PRADESH
35738	Kurnool	Kurnool	IND	518225	ANDHRA PRADESH
35739	Kurnool	Kurnool	IND	518508	ANDHRA PRADESH
35740	Kurnool	Kurnool	IND	518452	ANDHRA PRADESH
35741	Gonegandla	Kurnool	IND	518463	ANDHRA PRADESH
35742	Kurnool	Kurnool	IND	518466	ANDHRA PRADESH
35743	Kurnool	Kurnool	IND	518220	ANDHRA PRADESH
35744	Kodumur	Kurnool	IND	518464	ANDHRA PRADESH
35745	Kurnool	Kurnool	IND	518411	ANDHRA PRADESH
35746	Kurnool	Kurnool	IND	518467	ANDHRA PRADESH
35747	Kurnool	Kurnool	IND	518405	ANDHRA PRADESH
35748	Kurnool	Kurnool	IND	518401	ANDHRA PRADESH
35749	Kurnool	Kurnool	IND	518442	ANDHRA PRADESH
35750	Peapally	Kurnool	IND	518221	ANDHRA PRADESH
35751	Kurnool	Kurnool	IND	518468	ANDHRA PRADESH
35752	Pagidyala	Kurnool	IND	518412	ANDHRA PRADESH
35753	Kurnool	Kurnool	IND	518598	ANDHRA PRADESH
35754	Kurnool	Kurnool	IND	518101	ANDHRA PRADESH
