room_id	room_name	available_from	available_to	block_id	floor_id	advance	max_beds	room_rent
1	Dormitory	2019-01-01	2099-12-31	1	1	10000.00	20	4000.00
2	101	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
3	102	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
4	103	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
5	104	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
6	105	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
7	106	2019-01-01	2099-12-31	1	2	20000.00	3	6500.00
8	107	2019-01-01	2099-12-31	1	2	20000.00	2	8000.00
9	201	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
10	202	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
11	203	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
12	204	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
13	205	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
14	206	2019-01-01	2099-12-31	1	3	20000.00	3	6500.00
15	207	2019-01-01	2099-12-31	1	3	20000.00	2	8000.00
16	301	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
17	302	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
18	303	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
19	304	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
20	305	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
21	306	2019-01-01	2099-12-31	1	4	20000.00	3	6500.00
22	307	2019-01-01	2099-12-31	1	4	20000.00	2	8000.00
23	401	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
24	402	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
25	403	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
26	404	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
27	405	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
28	406	2019-01-01	2099-12-31	1	5	20000.00	3	6500.00
29	407	2019-01-01	2099-12-31	1	5	20000.00	2	8000.00
30	109	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
31	110	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
32	111	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
33	112	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
34	113	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
35	114	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
36	115	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
37	116	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
38	117	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
39	118	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
40	119	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
41	120	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
42	121	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
43	122	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
44	123	2019-01-01	2099-12-31	2	6	20000.00	4	7500.00
45	124	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
46	125	2019-01-01	2099-12-31	2	6	20000.00	3	7500.00
47	209	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
48	210	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
49	211	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
50	212	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
51	213	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
52	214	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
53	215	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
54	216	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
55	217	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
56	218	2019-01-01	2099-12-31	2	7	20000.00	3	7500.00
