state_code	state_name	country_id
ANDAMAN & NICOBAR ISLANDS	ANDAMAN & NICOBAR ISLANDS	IND
ANDHRA PRADESH	ANDHRA PRADESH	IND
ARUNACHAL PRADESH	ARUNACHAL PRADESH	IND
ASSAM	ASSAM	IND
BIHAR	BIHAR	IND
CHANDIGARH	CHANDIGARH	IND
CHATTISGARH	CHATTISGARH	IND
DADRA & NAGAR HAVELI	DADRA & NAGAR HAVELI	IND
DAMAN & DIU	DAMAN & DIU	IND
DELHI	DELHI	IND
GOA	GOA	IND
GUJARAT	GUJARAT	IND
HARYANA	HARYANA	IND
HIMACHAL PRADESH	HIMACHAL PRADESH	IND
JAMMU & KASHMIR	JAMMU & KASHMIR	IND
JHARKHAND	JHARKHAND	IND
KARNATAKA	KARNATAKA	IND
KERALA	KERALA	IND
LAKSHADWEEP	LAKSHADWEEP	IND
MADHYA PRADESH	MADHYA PRADESH	IND
MAHARASHTRA	MAHARASHTRA	IND
MANIPUR	MANIPUR	IND
MEGHALAYA	MEGHALAYA	IND
MIZORAM	MIZORAM	IND
NAGALAND	NAGALAND	IND
ODISHA	ODISHA	IND
PONDICHERRY	PONDICHERRY	IND
PUNJAB	PUNJAB	IND
RAJASTHAN	RAJASTHAN	IND
SIKKIM	SIKKIM	IND
TAMIL NADU	TAMIL NADU	IND
TELANGANA	TELANGANA	IND
TRIPURA	TRIPURA	IND
UTTAR PRADESH	UTTAR PRADESH	IND
UTTARAKHAND	UTTARAKHAND	IND
WEST BENGAL	WEST BENGAL	IND
